Customer ID,Frequency,CancelCount,Monetary,Recency,UniqueProducts,AvgBasketSize,SeasonalConcentration,PurchaseSpread,BulkBuyer,PriceVariance,AvgDaysBetweenOrders,ReturnRate,AvgOrderValue,Customer_Type,Cluster,Cluster_Label,SilhouetteScore
12347,7,0,4310.0,2,103,26.0,0.2857142857142857,7,13.505494505494505,2.255381008076303,60.833333333333336,0.0,615.7142857142857,0,0,Deal Seeker,0.22448664192566525
12348,4,0,1797.24,75,22,7.75,0.25,4,75.51612903225806,13.400323347085758,94.33333333333333,0.0,449.31,0,2,Mixed,0.025461491604380087
12352,8,3,2506.04,36,59,10.625,0.125,4,6.305882352941176,53.70632399998194,43.333333333333336,0.2727272727272727,313.255,0,2,Mixed,0.00624139280272098
12356,3,0,2811.43,23,53,19.666666666666668,0.3333333333333333,3,26.966101694915253,3.9638535259246632,151.5,0.0,937.1433333333333,0,0,Deal Seeker,0.11176117292887905
12358,2,0,1168.06,2,13,9.5,0.5,2,13.052631578947368,11.483583120548642,149.0,0.0,584.03,1,0,Deal Seeker,0.15560956593761321
12359,4,2,6372.58,58,214,62.0,0.0,4,6.540322580645161,20.613950364603127,91.33333333333333,0.3333333333333333,1593.145,0,1,Loyal,-0.026451083464550863
12360,3,0,2662.06,52,105,43.0,0.0,3,9.031007751937985,6.400394389457637,74.0,0.0,887.3533333333334,0,2,Mixed,0.0028277811508738314
12362,10,3,5226.23,3,201,26.6,0.2,8,8.3796992481203,4.1170938940249275,32.44444444444444,0.23076923076923078,522.6229999999999,0,1,Loyal,-0.004236913610750929
12363,2,0,552.0,110,23,11.5,0.0,2,17.73913043478261,2.4585576928056323,133.0,0.0,276.0,0,2,Mixed,0.220589988480161
12364,4,0,1313.1,8,70,21.25,0.25,4,17.71764705882353,3.29279551823826,35.0,0.0,328.275,0,0,Deal Seeker,0.20619949730670095
12370,4,0,3545.69,51,143,41.75,0.5,3,14.089820359281438,3.3821472157990096,103.0,0.0,886.4225,0,0,Deal Seeker,0.17899163461803055
12371,2,0,1887.96,45,63,31.5,0.0,1,9.380952380952381,5.051917462318931,15.0,0.0,943.98,0,2,Mixed,0.03671571981707005
12372,3,0,1298.04,72,34,17.333333333333332,0.0,3,15.26923076923077,3.880862057481637,112.5,0.0,432.68,0,2,Mixed,0.14435484595604323
12375,2,1,457.5,11,14,8.5,0.5,2,10.470588235294118,12.565686792166337,88.0,0.3333333333333333,228.75,1,0,Deal Seeker,0.14108466594317456
12377,2,0,1628.12,315,72,38.5,0.5,2,12.25974025974026,4.650517224778668,39.0,0.0,814.06,1,2,Mixed,0.12062451647349451
12379,2,1,852.24,82,39,20.0,0.0,2,10.175,3.0531376777812,89.0,0.3333333333333333,426.12,1,2,Mixed,0.13789667428250482
12380,4,1,2724.81,22,77,26.0,0.25,4,10.836538461538462,3.9072909338979334,54.666666666666664,0.2,681.2025,0,0,Deal Seeker,0.16698168539353686
12381,5,1,1845.31,5,70,17.4,0.4,4,9.28735632183908,7.387123853289851,28.75,0.16666666666666666,369.062,0,0,Deal Seeker,0.2554863465587909
12383,5,1,1850.56,185,84,19.8,0.2,5,15.474747474747474,4.1245092359998266,42.0,0.16666666666666666,370.11199999999997,0,2,Mixed,0.15885266307126028
12384,2,1,585.27,29,26,13.5,0.5,2,4.666666666666667,9.820554553480761,93.0,0.3333333333333333,292.635,1,0,Deal Seeker,0.15713885306335426
12386,2,0,401.9,338,10,5.0,0.5,2,35.4,2.1980620252091767,29.0,0.0,200.95,1,2,Mixed,0.16751003417542773
12388,6,0,2780.66,16,57,16.666666666666668,0.16666666666666666,6,14.62,1.8882758182152746,62.2,0.0,463.4433333333333,0,0,Deal Seeker,0.15694014649018798
12393,4,0,1582.6000000000001,72,47,16.0,0.0,3,12.75,1.0943113638773525,86.66666666666667,0.0,395.65000000000003,0,2,Mixed,0.13194807578055315
12394,2,0,1272.48,64,26,13.5,0.0,2,30.333333333333332,4.237259569694623,154.0,0.0,636.24,0,2,Mixed,0.11912696235673882
12395,12,3,3018.63,19,91,13.0,0.4166666666666667,8,13.576923076923077,5.288353114160364,35.2,0.2,251.5525,1,0,Deal Seeker,0.22823110172874628
12397,2,0,2409.9,36,110,63.0,0.5,2,10.023809523809524,3.907965829812759,100.0,0.0,1204.95,1,0,Deal Seeker,0.12779812615420783
12399,4,0,1108.65,119,47,14.75,0.0,4,19.966101694915253,3.59063164265291,47.333333333333336,0.0,277.1625,0,2,Mixed,0.20798423013510003
12406,2,1,3415.3,22,92,52.5,0.5,2,17.314285714285713,2.5465481628643007,161.0,0.3333333333333333,1707.65,1,0,Deal Seeker,0.08228479159334709
12407,5,0,1708.1200000000001,50,57,15.4,0.0,4,18.38961038961039,4.190483392100111,53.75,0.0,341.624,0,2,Mixed,0.05846545303277617
12408,5,4,2888.55,33,81,21.0,0.2,4,13.41904761904762,3.507851280256277,76.0,0.4444444444444444,577.71,0,0,Deal Seeker,0.09346706971178298
12409,3,4,11072.67,79,91,36.333333333333336,0.0,2,50.92660550458716,3.5360310681973006,52.0,0.5714285714285714,3690.89,1,1,Loyal,-0.06208467725047803
12412,3,0,1226.88,75,43,20.333333333333332,0.0,3,13.59016393442623,3.6180087359091258,47.5,0.0,408.96000000000004,0,2,Mixed,0.13975787068964493
12413,3,2,758.1,67,29,12.666666666666666,0.0,3,7.526315789473684,5.880625783171972,135.5,0.4,252.70000000000002,0,2,Mixed,0.08960964507916096
12414,3,0,562.41,217,16,6.0,0.0,3,16.666666666666668,14.565386850943817,46.5,0.0,187.47,0,2,Mixed,0.21563989530745212
12415,21,5,124914.53,24,444,34.0,0.19047619047619047,11,108.36694677871148,13.231693132117266,20.866666666666667,0.19230769230769232,5948.310952380953,0,1,Loyal,0.2103028942434236
12417,9,3,3649.1,3,158,21.333333333333332,0.2222222222222222,8,8.083333333333334,5.252545614040316,44.25,0.25,405.4555555555555,0,1,Loyal,-0.1517273012937884
12421,4,1,807.04,16,32,11.25,0.25,4,10.755555555555556,7.743129062386063,101.33333333333333,0.2,201.76,0,0,Deal Seeker,0.14173306687734502
12422,3,0,803.5600000000001,96,39,13.0,0.0,3,9.487179487179487,6.334622693528457,114.5,0.0,267.85333333333335,0,2,Mixed,0.1844371473619227
12423,8,1,1859.31,1,97,15.625,0.25,8,10.712,4.1231729873813165,50.42857142857143,0.1111111111111111,232.41375,0,0,Deal Seeker,0.22889024359139518
12427,3,2,825.8,22,26,10.333333333333334,0.6666666666666666,3,17.193548387096776,5.020608432476891,175.0,0.4,275.26666666666665,1,0,Deal Seeker,0.19491563187472533
12428,9,3,7956.46,26,258,32.666666666666664,0.1111111111111111,5,12.02721088435374,16.930564000952696,43.0,0.25,884.0511111111111,0,1,Loyal,0.011577882246430892
12429,4,0,3750.4,9,82,24.25,0.5,4,16.051546391752577,4.200299653849782,118.66666666666667,0.0,937.6,0,0,Deal Seeker,0.2072702759737403
12431,15,3,6487.45,36,163,15.666666666666666,0.2,8,12.36595744680851,2.863079952105366,26.0,0.16666666666666666,432.49666666666667,0,1,Loyal,0.060359736897965914
12432,5,0,5059.32,43,107,21.6,0.0,2,16.675925925925927,67.34581983190773,65.0,0.0,1011.8639999999999,0,2,Mixed,0.017015908074797057
12433,7,0,13375.87,1,219,60.0,0.7142857142857143,5,26.35952380952381,2.246997652764369,74.6,0.0,1910.8385714285716,0,1,Loyal,0.021390440072498365
12434,2,2,806.14,85,46,25.0,0.0,2,7.88,2.9911453065503117,176.0,0.5,403.07,1,2,Mixed,0.08225288853455341
12435,2,0,7829.89,80,31,18.0,0.0,2,57.083333333333336,4.3258606905777395,188.0,0.0,3914.945,0,2,Mixed,0.039441831284812975
12437,18,1,4951.41,2,118,11.055555555555555,0.2777777777777778,10,14.683417085427136,5.149545529111089,23.571428571428573,0.05263157894736842,275.0783333333333,0,1,Loyal,0.06718706760768636
12438,2,0,2906.85,14,84,49.0,0.5,2,12.040816326530612,5.982946080645666,126.0,0.0,1453.425,1,0,Deal Seeker,0.1126940648048903
12444,5,0,5005.46,21,138,35.2,0.2,5,6.551136363636363,7.054750051027148,37.5,0.0,1001.092,0,0,Deal Seeker,0.1168104618771383
12449,4,0,4067.29,22,118,47.75,0.25,4,8.13089005235602,3.1349560218205554,55.0,0.0,1016.8225,0,0,Deal Seeker,0.12980524297303128
12450,2,0,197.88,156,7,4.0,0.0,2,16.0,0.6145555885585708,17.0,0.0,98.94,0,2,Mixed,0.2377216930643817
12451,5,1,9035.52,11,265,70.8,0.4,4,18.573446327683616,3.4805707167136073,78.5,0.16666666666666666,1807.104,0,1,Loyal,0.0040432583610554105
12455,6,0,2466.86,73,85,15.0,0.0,5,23.211111111111112,5.759212844154109,44.6,0.0,411.1433333333334,0,2,Mixed,0.06616719948245943
12456,3,1,3181.04,44,105,41.666666666666664,0.0,3,13.064,6.337398024120707,105.0,0.25,1060.3466666666666,0,2,Mixed,-0.004274940428887407
12457,7,5,2363.23,66,53,8.857142857142858,0.0,3,13.596774193548388,8.67458684934762,28.833333333333332,0.4166666666666667,337.6042857142857,0,2,Mixed,0.06468072022134239
